,ID,What environment did you use for the hackathon?,In what capacity did you participate?,Were you able to join any of the below technical training? ,"Before I participated in the hackathon, I would rate my skills on cloud tooling as ","After I participated in the hackathon, I would rate my skills on cloud tooling as ","Before I participated in the hackathon, I would rate my skills on GenAI models as ","After I participated in the hackathon, I would rate my skills on GenAI models as ",To what extent do your learnings from the hackathon feel relevant for your day to day work?,comments,answer
0,1,GCP,3-day,Live technical Google / Azure session;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,,Overall very enjoyable. Organisation was quite last minute and a lot of people (participants and other) did not understand what it was or what the requirements were,Clarity of Requirements
1,2,Azure,1-day,Live technical Google / Azure session;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,,"The only thing I would recommend including next time would be clear expectations as to what the next steps are for teams that make it to the final showcase. Including how will the idea be improved upon, how do we start implementing it into current work and projects and assurance that the team who developed the idea will get preference in implementing the solution in practice ",Post-Hackathon Follow-up
2,3,Azure,1-day,Live technical Google / Azure session;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,3. Advanced -  I understand the tuning of standard GenAI models,,Feel like more info could have been given out in leading up to the pitch submission date.,Communication and Information Sharing
3,4,GCP,1-day,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,,Huge thanks to everyone who made it happen! :),
4,5,GCP,1-day,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,0. No idea about it,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,,I felt that it was too focused on commercial viability / applicability instead of learning.,Application to Business / Use Cases
5,6,GCP,3-day,Neither;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,,"Slightly fewer final presentations, and each presenting team presenting for slightly longer",Showcase / Presentation Format
6,7,GCP,1-day,Live technical Google / Azure session;,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I developed some understanding of standard GenAI models,1. Beginner - I developed some understanding of standard GenAI models,,"Was really professionally put together, clear on what we needed to do, lots of materials available to learn from, good hype created to get people excited :)",
7,8,GCP,3-day,Neither;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,3. Advanced -  I understand the tuning of standard GenAI models,,,
8,9,GCP,1-day,Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,,,
9,10,GCP,1-day,Neither;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,,"The topic and content was very interesting and the opportunity to connect with technical and commercial mentors was great! In the future, it would be great to see either more structure to the hackathon, or more communication about the structure of the hackathon.",Communication and Information Sharing
10,11,GCP,1-day,Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,,,
11,12,GCP,1-day,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,,"The overall quality of the hackathon was very high (especially for something pulled together in such a short timeframe!), including the finale, the environments we were provided and the teaching materials and mentoring sessions provided to us for free. It was an awesome experience to be involved!",
12,13,GCP,1-day,Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I can understand the basic cloud concepts and terminologies ,4. Expert - I am able to tune and deploy GenAI models,4. Expert - I am able to tune and deploy GenAI models.,,excellent showcase of Quantiums power to innovate and rapidly pull an idea together. Overall it was well run and executed,Accessibility and Inclusion
13,14,Azure,1-day,Live technical Google / Azure session;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,,"I think better prizes and knowing them ahead of time would incentivise greater participation and enthusiasm. It felt a bit rushed between sign up and the start of the hackathon. I think the requirements could be clearer earlier on regarding what needs to be delivered and what the idea is judged on. Overall though, it went quite well and it was great to see everyone working through fun ideas.",Clarity of Requirements
14,15,,Neither - We didn't join in the end,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,,The standard of presentations were amazing and it was well executed ,Showcase / Presentation Format
15,16,GCP,3-day,Live technical Google / Azure session;,0. No idea about it,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,,Really great process and very well organised. Only difficulty was juggling the vast amount of Hackathon training and prep with everyday work tasks. I don't think you could have done the hackathon effectively without a good amount of prep so a greater understanding of this extra workload would be appreciated,Time Commitment / Workload
16,17,GCP,3-day,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,,I thoroughly enjoyed the opportunity to learn and practice skills outside of my usual team and role.,
17,18,GCP,1-day,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,,Very good. Some of the kasna sessions were maybe too technical and about things in GCP not necessarily relevant for the hackathon. But still interesting to learn about.,Relevance of Training Content
18,19,GCP,3-day,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,,"- It was a very short time period in the lead up to the hackathon which led to some conflicting info e.g. what use cases the company was interested in, what deadlines and deliverables were etc. - all understandable in the context of moving fast though!
- While a lot of the learning was great for getting across the cloud platforms, I think some additional sessions targeted to gen AI itself e.g. differences between tuning a standard model vs. training a model (or some resources to read / work through) would be helpful to equip people with a bit more technical detail before starting",Technical Learning Resources
19,20,Azure,3-day,Recording or self-paced Google / Azure training;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,,,
20,21,GCP,3-day hackathon,Neither;,0. No idea about it,0. No idea about it,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,"None - It was simply good fun, or an interesting academic exercise without direct relevance to my role","Generally I thought it was organised well, particularly considering how quickly it was put together. The main thing that could be improved is that it wasn't entirely clear from the beginning what some of the requirements were, and some information about the showcase and what needed to be submitted was only released quite late in the piece. Having more clearly defined requirements earlier would have been helpful.",Clarity of Requirements
21,22,Azure,1-day hackathon,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,3. Advanced -  I understand the tuning of standard GenAI models,Somewhat - There is some relevance but not linked directly,,
22,23,GCP,1-day hackathon,Live technical Google / Azure session;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,"None - It was simply good fun, or an interesting academic exercise without direct relevance to my role",,
23,24,GCP,1-day hackathon,Neither;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,It was great to be able to work on exploring new tech for a day,
24,25,Azure,1-day hackathon,Neither;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I am comfortable using standard GenAI models for specific tasks ,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,,
25,26,Azure,1-day hackathon,Live technical Google / Azure session;,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,"A lot of the Cloud tooling training sessions were confusing and felt irrelevant for me as a grad, especially since these sessions were run before the main GenAI sessions.
Really enjoyed the 4hr Google training session
Really appreciated teams coming into the office to hack together and thanks to the GE and Greg for allowing people to take time off project work to do hackathon work instead, for a stress-free hackathon",Relevance of Training Content
26,27,GCP,1-day hackathon,Neither;,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,,
27,28,GCP,1-day hackathon,Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,"None - It was simply good fun, or an interesting academic exercise without direct relevance to my role",,
28,29,Neither - I didn't hack,None of the above; observer,,,,,,,My ratings are only based on my zero understanding. Unfortunately I was unable to attend much as also had other commitments. ,
29,30,Azure,1-day hackathon,Live technical Google / Azure session;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,4. Expert - I am able to tune and deploy GenAI models.,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,"The hackathon was amazing however, I think we can would have been better if it was announced a bit earlier so that there is ample time for teams to prepare.",Time Commitment / Workload
30,31,Azure,1-day hackathon,Neither;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,3. Advanced -  I understand the tuning of standard GenAI models,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,The level of effort from Lauren and the AC team was clearly evident. There was fantastic documentation and overviews both on confluence and in presentations.,
31,32,GCP,1-day hackathon,Neither;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,,
32,33,Neither - I didn't hack,None of the above; observer,,,,,,,,
33,34,GCP,1-day hackathon,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,3. Advanced -  I understand the tuning of standard GenAI models,3. Advanced -  I understand the tuning of standard GenAI models,Somewhat - There is some relevance but not linked directly,,
34,35,GCP,3-day hackathon,Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,I enjoyed the hackathon but felt like I could have got a lot more out of it personally. My feedback surrounds the importance placed on having a working demo before the hackathon and then not being able to demo in the presentation. Knowing this before would have potentially led to our team spending more time experimenting with the models than worrying about having our database and dashboard working for a demo. It was a personal choice our team made so maybe there is something to learn for us surrounding time management as it was also our first hackathon. Also would have been helpful to have a bit more clarity on the exact requirements for submission. There were a number of emails being sent to different people which had contradicting information which caused a minor amount of confusion. Otherwise was a great event! thank you for organising AC !!!,Clarity of Requirements
35,36,GCP,3-day hackathon,Live technical Google / Azure session;,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,"Only pain points were around unclear requirements that had to be clarified (e.g. recordings, slides, etc.)",Clarity of Requirements
36,37,Azure,3-day hackathon,Neither;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,It was definitely stressful leading up to the end of the 3 days but we were very proud of our contributions and what the technical expertise can build.,Time Commitment / Workload
37,38,Neither - I didn't hack,None of the above; observer,,,,,,,What an awesome way to explore the capabilities of this new technology in a safe and engaging way. Brilliant to see the ideas / approaches and enthusiasm from participants.,Accessibility and Inclusion
38,39,Neither - I didn't hack,Technical learning session(s) only,Live technical Google / Azure session;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,,
39,40,GCP,3-day hackathon,Neither;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,"None - It was simply good fun, or an interesting academic exercise without direct relevance to my role",,
40,41,GCP,1-day hackathon,Live technical Google / Azure session;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,3. Advanced -  I understand the tuning of standard GenAI models,3. Advanced -  I understand the tuning of standard GenAI models,Somewhat - There is some relevance but not linked directly,,
41,42,GCP,1-day hackathon,Recording or self-paced Google / Azure training;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,"None - It was simply good fun, or an interesting academic exercise without direct relevance to my role","The training sessions were good and there is a lot of work put in to make them happen, overall it was a fun time - however, the 4 hour presentation was a bit much in 1 sitting - would be good to have it split across the day or to have the hackathon structured in a way where only the top 5 ideas get to present",Time Commitment / Workload
42,43,Neither - I didn't hack,None of the above; observer,,,,,,,Great initiative. It would be good if the teams got more coaching on presentation skills to keep them more engaging.,Showcase / Presentation Format
43,44,GCP,1-day hackathon,Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,was awesome! I'd like to keep hearing about gen ai initiatives within Quantium though. It would be a shame if there was radio silence on the topic once the hackathon was done :). Thanks so much ,Post-Hackathon Follow-up
44,45,GCP,1-day hackathon,Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,"I felt that the communication and timelines at the beginning of the hackathon could have been clearer. It was announced, and we were told to wait for the start. Then suddenly it was announced that trainings were that day/week. Some more guidance about times etc would have helped to plan our calendars in advance. Additionally the Sparq sessions were very helpful, however they could have been earlier in the process. For example the session with Greg and PT outlined what Quantium was looking for in Gen AI and the hackathon, however it was only a couple of days before the pitch was due. It would have been nice to have this session earlier in the process.
These are small criticisms and overall, I found the hackathon to be very enjoyable, and I learnt a bunch!",Communication and Information Sharing
45,46,GCP,3-day hackathon,Neither;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,"Investment - buy-in from the business & c-suite meant we had great support and very functional environments to hack in
Comms - Comms were generally poor in this hackathon.  Understanding the following were forever changing things, but it was very unclear what could & coudn't be used in the hackathon (data, tools, models etc), and moreso, what were the deliverables from the hackathon (for the 3 day)",Communication and Information Sharing
